h2_fraction,phi,T_in,P,success,tau,tau_ms,error
0.0,1.0,1000.0,101325.0,False,,,no ignition within t_end
0.0,1.0,1042.857142857143,101325.0,False,,,no ignition within t_end
0.0,1.0,1085.7142857142858,101325.0,False,,,no ignition within t_end
0.0,1.0,1128.5714285714284,101325.0,True,0.8586116271428521,858.6116271428521,
0.0,1.0,1171.4285714285713,101325.0,True,0.3334653321772938,333.4653321772938,
0.0,1.0,1214.2857142857142,101325.0,True,0.14400846805972906,144.00846805972907,
0.0,1.0,1257.142857142857,101325.0,True,0.06768806695636301,67.688066956363,
0.0,1.0,1300.0,101325.0,True,0.03399719969776015,33.997199697760145,
0.0,1.0,1342.857142857143,101325.0,True,0.018062620201782703,18.062620201782703,
0.0,1.0,1385.7142857142858,101325.0,True,0.01010888770073998,10.10888770073998,
0.0,1.0,1428.5714285714284,101325.0,True,0.005947524711607674,5.947524711607674,
0.0,1.0,1471.4285714285713,101325.0,True,0.00366997882203421,3.66997882203421,
0.0,1.0,1514.2857142857142,101325.0,True,0.0023667967250214977,2.366796725021498,
0.0,1.0,1557.142857142857,101325.0,True,0.0015882402845421896,1.5882402845421897,
0.0,1.0,1600.0,101325.0,True,0.001104028026237857,1.1040280262378568,
0.25,1.0,1000.0,101325.0,True,0.007489407242991468,7.489407242991468,
0.25,1.0,1042.857142857143,101325.0,True,0.00364151173490424,3.64151173490424,
0.25,1.0,1085.7142857142858,101325.0,True,0.0020882308454795214,2.0882308454795213,
0.25,1.0,1128.5714285714284,101325.0,True,0.0013215181239969768,1.3215181239969769,
0.25,1.0,1171.4285714285713,101325.0,True,0.0008972839150869544,0.8972839150869544,
0.25,1.0,1214.2857142857142,101325.0,True,0.00064251588369713,0.64251588369713,
0.25,1.0,1257.142857142857,101325.0,True,0.0004796576010226474,0.4796576010226474,
0.25,1.0,1300.0,101325.0,True,0.00036998655979577456,0.36998655979577455,
0.25,1.0,1342.857142857143,101325.0,True,0.000293001471421135,0.29300147142113503,
0.25,1.0,1385.7142857142858,101325.0,True,0.00023691855357097644,0.23691855357097644,
0.25,1.0,1428.5714285714284,101325.0,True,0.0001948682001687515,0.1948682001687515,
0.25,1.0,1471.4285714285713,101325.0,True,0.00016257890781166872,0.16257890781166873,
0.25,1.0,1514.2857142857142,101325.0,True,0.00013716513668399598,0.137165136683996,
0.25,1.0,1557.142857142857,101325.0,True,0.00011686655830399353,0.11686655830399353,
0.25,1.0,1600.0,101325.0,True,0.00010039826456422376,0.10039826456422375,
0.5,1.0,1000.0,101325.0,True,0.0015526782980377792,1.5526782980377791,
0.5,1.0,1042.857142857143,101325.0,True,0.0008501831568638435,0.8501831568638435,
0.5,1.0,1085.7142857142858,101325.0,True,0.0005342569115309101,0.5342569115309102,
0.5,1.0,1128.5714285714284,101325.0,True,0.0003642029517244423,0.3642029517244423,
0.5,1.0,1171.4285714285713,101325.0,True,0.00026254959974643475,0.26254959974643477,
0.5,1.0,1214.2857142857142,101325.0,True,0.00019718909103518705,0.19718909103518706,
0.5,1.0,1257.142857142857,101325.0,True,0.0001528892770970557,0.1528892770970557,
0.5,1.0,1300.0,101325.0,True,0.00012155987636655065,0.12155987636655065,
0.5,1.0,1342.857142857143,101325.0,True,9.866935219021898e-05,0.09866935219021898,
0.5,1.0,1385.7142857142858,101325.0,True,8.134768876907432e-05,0.08134768876907432,
0.5,1.0,1428.5714285714284,101325.0,True,6.798423176153243e-05,0.06798423176153243,
0.5,1.0,1471.4285714285713,101325.0,True,5.749613214491751e-05,0.057496132144917514,
