reaction_index,equation,NO_base_ppm,NO_perturbed_ppm,sensitivity
88,HNO + NH2 <=> NH3 + NO,10744.091840198944,10744.302860134356,0.00019640555809699895
89,NH2 + NO <=> H2O + N2,10744.091840198944,10675.084087592519,-0.06422855801384078
90,NH2 + NO <=> NNH + OH,10744.091840198944,10712.427773661746,-0.02947114284590065
92,HONO + NH2 <=> NH2OH + NO,10744.091840198944,10744.091732705449,-1.0004893564341328e-07
94,NH2 + NO2 <=> H2NO + NO,10744.091840198944,10744.161216442522,6.457152880892802e-05
95,NH2 + NO2 <=> H2NO + NO,10744.091840198944,10744.076631657208,-1.415526036260343e-05
99,NH + O <=> H + NO,10744.091840198944,10897.375944567179,0.14266827447874494
103,NH + O2 <=> NO + OH,10744.091840198944,10748.915080294522,0.00448920222138496
107,NH + NO <=> H + N2O,10744.091840198944,10592.98523899426,-0.14064157627480325
108,NH + NO <=> N2 + OH,10744.091840198944,10690.894310042037,-0.04951328688188342
110,NH + NO2 <=> HNO + NO,10744.091840198944,10744.099666554983,7.284334642153664e-06
111,N + OH <=> H + NO,10744.091840198944,10841.89498866421,0.09102970257508021
112,N + O2 <=> NO + O,10744.091840198944,10793.63365455232,0.04611075099713565
113,N + NO <=> N2 + O,10744.091840198944,10494.73894253506,-0.2320837362269488
118,NNH + O <=> NH + NO,10744.091840198944,10741.30386016082,-0.0025948959480150227
123,NNH + NO <=> HNO + N2,10744.091840198944,10743.639855634134,-0.00042068196319676
158,H + HNO <=> H2 + NO,10744.091840198944,10759.330319248786,0.014183124340790824
159,HNO + O <=> NO + OH,10744.091840198944,10743.886322604088,-0.00019128428713387788
161,HNO + OH <=> H2O + NO,10744.091840198944,10744.301986394736,0.00019559233010794016
163,HNO + O2 <=> HO2 + NO,10744.091840198944,10744.809693468012,0.0006681376888298853
165,HNO + NO2 <=> HONO + NO,10744.091840198944,10744.092977036686,1.05810501129854e-06
166,HO2 + NO <=> NO2 + OH,10744.091840198944,10744.35641845662,0.0002462546501013312
167,NO + O (+M) <=> NO2 (+M),10744.091840198944,10743.41801927246,-0.0006271548461294275
168,H + NO2 <=> NO + OH,10744.091840198944,10742.09845509258,-0.001855331410054698
169,NO2 + O <=> NO + O2,10744.091840198944,10744.085386675726,-6.006578604967952e-06
172,2 NO2 <=> 2 NO + O2,10744.091840198944,10744.091839990513,-1.9399566095932225e-10
173,2 NO2 <=> NO + NO3,10744.091840198944,10744.091838692926,-1.4017170991742724e-09
174,NO + OH (+M) <=> HONO (+M),10744.091840198944,10744.040166653946,-4.809484669977405e-05
176,H + HONO <=> H2O + NO,10744.091840198944,10743.8985507876,-0.000179902977578958
179,HONO + NO2 <=> HONO2 + NO,10744.091840198944,10744.091840218141,1.786806595713863e-11
180,2 HONO <=> H2O + NO + NO2,10744.091840198944,10744.091840025514,-1.6141869249738729e-10
182,NO + OH <=> HNO2,10744.091840198944,10744.07486790283,-1.5796864329699405e-05
183,H + HNO2 <=> H2O + NO,10744.091840198944,10744.091698188593,-1.3217529498093852e-07
193,NO3 + NO2 <=> NO + O2 + NO2,10744.091840198944,10744.0918402215,2.0993369136679838e-11
201,N2O + O <=> 2 NO,10744.091840198944,10746.546651356466,0.0022848009808866423
204,N2O + OH <=> HNO + NO,10744.091840198944,10744.072882333043,-1.7644921676952457e-05
205,N2O + NO <=> N2 + NO2,10744.091840198944,10744.09027097366,-1.4605471611877592e-06
214,N2H4 + NO <=> HNO + N2H3,10744.091840198944,10744.091366797571,-4.406155306956101e-07
224,N2H3 + O => H + NH2 + NO,10744.091840198944,10744.486451542607,0.0003672821765975276
238,O + tHNNH <=> NH2 + NO,10744.091840198944,10744.887838278148,0.0007408705091533505
251,H2NN + O <=> NH2 + NO,10744.091840198944,10744.087071609147,-4.438336778966651e-06
253,H2NN + OH => H + NH2 + NO,10744.091840198944,10744.094314040307,2.3025132322888494e-06
254,H2NN + HO2 => NH2 + NO + OH,10744.091840198944,10744.094125497324,2.127027964968689e-06
258,HOCO + NO <=> CO2 + HNO,10744.091840198944,10744.09184021159,1.1769830825661149e-11
280,H + NO (+M) <=> HNO (+M),10744.091840198944,10731.389003037168,-0.011823090635030325
